                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0986,                 1.4031,                 1.3354,                0.69849,                0.92001,                  0.995,                0.59318,                 1.3431,                 2.1879,                 1.4417,               0.000376,               0.000376,               0.000376
                     35,                 1.1643,                 1.4568,                 1.2606,                0.21487,                      1,                  0.995,                 0.6465,                 1.2675,                 2.1724,                 1.4294,             0.00038128,             0.00038128,             0.00038128
                     36,                  1.008,                 1.2444,                 1.2195,                0.38038,                      1,                  0.995,                0.68816,                 1.2508,                 2.1753,                 1.4685,             0.00038624,             0.00038624,             0.00038624
                     37,                 1.0482,                 1.3361,                 1.2611,                0.74729,                      1,                  0.995,                0.63674,                 1.3147,                 2.1402,                 1.5057,             0.00039086,             0.00039086,             0.00039086
                     38,                 1.0751,                 1.3111,                 1.3477,                0.88418,                    0.5,                  0.995,                0.64862,                 1.2662,                 2.1489,                 1.4715,             0.00039515,             0.00039515,             0.00039515
                     39,                0.94191,                  1.196,                 1.1263,                0.93023,                    0.5,                  0.995,                0.70045,                 1.1887,                 2.1427,                 1.4431,             0.00039911,             0.00039911,             0.00039911
                     40,                  1.187,                 1.2505,                 1.3763,                      1,                0.47504,                  0.995,                0.57845,                 1.1381,                 2.2483,                  1.348,             0.00040275,             0.00040275,             0.00040275
                     41,                 1.2965,                 1.6492,                 1.5709,                      1,                0.42788,                  0.995,                0.54871,                  1.305,                 2.2939,                 1.4379,             0.00040605,             0.00040605,             0.00040605
                     42,                 1.2255,                  1.365,                  1.255,                      1,                 0.4779,                  0.995,                0.55561,                 1.4465,                 2.3179,                   1.61,             0.00040902,             0.00040902,             0.00040902
                     43,                0.98307,                  1.193,                 1.2094,                0.99247,                    0.5,                  0.995,                0.54686,                 1.5086,                 2.3168,                 1.7317,             0.00041166,             0.00041166,             0.00041166
                     44,                0.83053,                 1.1693,                 1.1107,                 0.9868,                    0.5,                  0.995,                0.48275,                 1.5572,                 2.2918,                 1.8164,             0.00041398,             0.00041398,             0.00041398
                     45,                0.96758,                 1.2841,                 1.1868,                      1,                0.48352,                0.66333,                  0.321,                 1.5712,                   2.35,                 1.8712,             0.00041596,             0.00041596,             0.00041596
                     46,                  0.925,                0.94938,                 1.1247,                0.44465,                    0.5,                0.66333,                 0.3122,                 1.6331,                  2.432,                 1.9647,             0.00041761,             0.00041761,             0.00041761
                     47,                 1.0421,                 1.3173,                   1.23,                0.33588,                    0.5,                0.66333,                0.29709,                 1.6815,                 2.5245,                 2.0557,             0.00041893,             0.00041893,             0.00041893
                     48,                 1.2618,                  1.443,                 1.4026,                0.27447,                0.50652,                0.66333,                0.27787,                 1.6139,                 2.5275,                 1.9901,             0.00041992,             0.00041992,             0.00041992
                     49,                 1.2296,                 1.3235,                 1.4576,                0.14936,                      1,                0.66292,                0.26646,                 1.6079,                 2.5488,                 1.9186,             0.00042059,             0.00042059,             0.00042059
                     50,                0.98711,                 1.1347,                 1.1241,                0.14936,                      1,                0.66292,                0.26646,                 1.6079,                 2.5488,                 1.9186,             0.00042092,             0.00042092,             0.00042092
                     51,                0.93853,                0.97337,                  1.193,                 0.2762,                      1,                0.66292,                0.38879,                 1.4875,                 2.5208,                 1.8198,             0.00042092,             0.00042092,             0.00042092
                     52,                 1.1379,                  1.093,                 1.2076,                 0.2762,                      1,                0.66292,                0.38879,                 1.4875,                 2.5208,                 1.8198,             0.00042059,             0.00042059,             0.00042059
                     53,                0.98077,                 1.2821,                 1.2229,                0.27133,                      1,                   0.87,                0.52885,                 1.3621,                 2.6004,                 1.5603,             0.00041993,             0.00041993,             0.00041993
                     54,                0.89326,                 1.2119,                 1.1065,                0.27133,                      1,                   0.87,                0.52885,                 1.3621,                 2.6004,                 1.5603,             0.00041894,             0.00041894,             0.00041894
